"","lsoa11cd","msoa11cd"
"3610","E01012695","E02002647"
"3611","E01012704","E02002634"
"3612","E01012723","E02002636"
"3613","E01012736","E02002642"
"3614","E01012737","E02002642"
"3616","E01012733","E02002643"
"3621","E01012735","E02002642"
"3622","E01012738","E02002643"
"3623","E01012743","E02002647"
"3624","E01012744","E02002647"
"3625","E01012749","E02002638"
"3626","E01012748","E02002638"
"3627","E01012754","E02002649"
"3628","E01012751","E02002645"
"3629","E01012684","E02002640"
"3630","E01012707","E02002639"
"3631","E01012742","E02002643"
"3632","E01012670","E02002643"
"3633","E01012679","E02002640"
"3634","E01012676","E02002641"
"3637","E01012687","E02002646"
"3638","E01012691","E02002636"
"3639","E01012698","E02002648"
"3640","E01012732","E02002650"
"3641","E01012739","E02002643"
"3645","E01012686","E02002646"
"3648","E01012690","E02002636"
"3649","E01012697","E02002648"
"3650","E01012699","E02002651"
"3651","E01012706","E02002634"
"3652","E01012709","E02002641"
"3656","E01012752","E02002649"
"3659","E01012662","E02002634"
"3660","E01012688","E02002646"
"3664","E01012740","E02002644"
"3666","E01012710","E02002641"
"3667","E01012727","E02002651"
"3668","E01012689","E02002646"
"3671","E01012703","E02002634"
"3672","E01012711","E02002637"
"3673","E01012746","E02002647"
"3674","E01012694","E02002648"
"3676","E01012702","E02002651"
"3677","E01012724","E02002639"
"3680","E01012666","E02002635"
"3683","E01012668","E02002635"
"3684","E01012669","E02002635"
"3688","E01012714","E02002646"
"3689","E01012719","E02002633"
"3690","E01012722","E02002641"
"3691","E01012725","E02002651"
"3692","E01012726","E02002649"
"3695","E01012731","E02002650"
"3709","E01012728","E02002649"
"3712","E01012753","E02002649"
"3714","E01012705","E02002636"
"3715","E01012755","E02002649"
"3717","E01012734","E02002643"
"3720","E01012741","E02002644"
"3723","E01012745","E02002647"
"3736","E01012672","E02002645"
"3737","E01012674","E02002645"
"3738","E01012671","E02002645"
"3747","E01012673","E02002642"
"3750","E01012675","E02002642"
"3755","E01012678","E02002640"
"3801","E01012663","E02002633"
"3802","E01012717","E02002634"
"3805","E01012729","E02002650"
"3806","E01012747","E02002637"
"3815","E01012677","E02002641"
"3826","E01012597","E02002627"
"3830","E01012609","E02002624"
"3874","E01012721","E02002639"
"3875","E01012720","E02002639"
"3887","E01012716","E02002633"
"3893","E01012685","E02002648"
"3898","E01012693","E02002637"
"3899","E01012692","E02002636"
"3906","E01012696","E02002648"
"3977","E01012664","E02002633"
"3978","E01012665","E02002633"
"3981","E01012667","E02002635"
"3987","E01012700","E02002651"
"3989","E01012701","E02002650"
"3992","E01012712","E02002644"
"3994","E01012718","E02002635"
"4009","E01012730","E02002650"
"4029","E01012809","E02002677"
"4034","E01012750","E02002637"
"4053","E01012793","E02002665"
"4055","E01012765","E02002656"
"4075","E01012903","E02002673"
"4076","E01012804","E02002667"
"4077","E01012766","E02002663"
"4079","E01012811","E02002677"
"4082","E01012904","E02002658"
"4084","E01012795","E02002670"
"4108","E01012708","E02002641"
"4115","E01012715","E02002644"
"4120","E01012713","E02002644"
